episode,step_no,sku_id,action_id,action_name,epsilon,total_cost,raw_reward,reward,simulation_status,terminated,episode_total_reward,episode_total_cost
45,3,SKU_C,4,expedite,0.7899497487437186,195.61815654536724,-195.61815654536724,-0.19561815654536724,SIMULATED,True,-1.9679650911576003,1967.9650911576005
46,1,SKU_A,2,order_1w_cover,0.785175879396985,1255.1819652675183,-1255.1819652675183,-1.2551819652675182,SIMULATED,False,-2.1164290911576003,2116.4290911576004
46,2,SKU_B,5,reduce_review,0.785175879396985,665.6289693447147,-665.6289693447147,-0.6656289693447147,SIMULATED,False,-2.1164290911576003,2116.4290911576004
46,3,SKU_C,3,order_2w_cover,0.785175879396985,195.61815654536724,-195.61815654536724,-0.19561815654536724,SIMULATED,True,-2.1164290911576003,2116.4290911576004
47,1,SKU_A,5,reduce_review,0.7804020100502512,1255.1819652675183,-1255.1819652675183,-1.2551819652675182,SIMULATED,False,-1.9082857839667542,1908.285783966754
47,2,SKU_B,1,order_moq,0.7804020100502512,457.4856621538687,-457.4856621538687,-0.4574856621538687,SIMULATED,False,-1.9082857839667542,1908.285783966754
47,3,SKU_C,4,expedite,0.7804020100502512,195.61815654536724,-195.61815654536724,-0.19561815654536724,SIMULATED,True,-1.9082857839667542,1908.285783966754
48,1,SKU_A,5,reduce_review,0.7756281407035176,1255.1819652675183,-1255.1819652675183,-1.2551819652675182,SIMULATED,False,-2.1164290911576003,2116.4290911576004
48,2,SKU_B,0,hold,0.7756281407035176,665.6289693447147,-665.6289693447147,-0.6656289693447147,SIMULATED,False,-2.1164290911576003,2116.4290911576004
48,3,SKU_C,0,hold,0.7756281407035176,195.61815654536724,-195.61815654536724,-0.19561815654536724,SIMULATED,True,-2.1164290911576003,2116.4290911576004
49,1,SKU_A,4,expedite,0.770854271356784,1255.1819652675183,-1255.1819652675183,-1.2551819652675182,SIMULATED,False,-2.1164290911576003,2116.4290911576004
49,2,SKU_B,5,reduce_review,0.770854271356784,665.6289693447147,-665.6289693447147,-0.6656289693447147,SIMULATED,False,-2.1164290911576003,2116.4290911576004
49,3,SKU_C,4,expedite,0.770854271356784,195.61815654536724,-195.61815654536724,-0.19561815654536724,SIMULATED,True,-2.1164290911576003,2116.4290911576004
50,1,SKU_A,5,reduce_review,0.7660804020100502,1255.1819652675183,-1255.1819652675183,-1.2551819652675182,SIMULATED,False,-2.1164290911576003,2116.4290911576004
50,2,SKU_B,4,expedite,0.7660804020100502,665.6289693447147,-665.6289693447147,-0.6656289693447147,SIMULATED,False,-2.1164290911576003,2116.4290911576004
50,3,SKU_C,4,expedite,0.7660804020100502,195.61815654536724,-195.61815654536724,-0.19561815654536724,SIMULATED,True,-2.1164290911576003,2116.4290911576004
51,1,SKU_A,0,hold,0.7613065326633166,1255.1819652675183,-1255.1819652675183,-1.2551819652675182,SIMULATED,False,-1.9082857839667542,1908.285783966754
51,2,SKU_B,1,order_moq,0.7613065326633166,457.4856621538687,-457.4856621538687,-0.4574856621538687,SIMULATED,False,-1.9082857839667542,1908.285783966754
51,3,SKU_C,5,reduce_review,0.7613065326633166,195.61815654536724,-195.61815654536724,-0.19561815654536724,SIMULATED,True,-1.9082857839667542,1908.285783966754
52,1,SKU_A,1,order_moq,0.756532663316583,1106.7179652675184,-1106.7179652675184,-1.1067179652675183,SIMULATED,False,-1.7598217839667543,1759.821783966754
52,2,SKU_B,1,order_moq,0.756532663316583,457.4856621538687,-457.4856621538687,-0.4574856621538687,SIMULATED,False,-1.7598217839667543,1759.821783966754
52,3,SKU_C,5,reduce_review,0.756532663316583,195.61815654536724,-195.61815654536724,-0.19561815654536724,SIMULATED,True,-1.7598217839667543,1759.821783966754
53,1,SKU_A,4,expedite,0.7517587939698492,1255.1819652675183,-1255.1819652675183,-1.2551819652675182,SIMULATED,False,-1001.4498001218129,1001449.8001218128
53,2,SKU_B,3,order_2w_cover,0.7517587939698492,999999.0,-999999.0,-999.999,SKIPPED_GATE_FAIL,False,-1001.4498001218129,1001449.8001218128
53,3,SKU_C,3,order_2w_cover,0.7517587939698492,195.61815654536724,-195.61815654536724,-0.19561815654536724,SIMULATED,True,-1001.4498001218129,1001449.8001218128
54,1,SKU_A,4,expedite,0.7469849246231156,1255.1819652675183,-1255.1819652675183,-1.2551819652675182,SIMULATED,False,-2.0797005984481616,2079.700598448162
54,2,SKU_B,0,hold,0.7469849246231156,665.6289693447147,-665.6289693447147,-0.6656289693447147,SIMULATED,False,-2.0797005984481616,2079.700598448162
54,3,SKU_C,1,order_moq,0.7469849246231156,158.88966383592893,-158.88966383592893,-0.15888966383592892,SIMULATED,True,-2.0797005984481616,2079.700598448162
55,1,SKU_A,1,order_moq,0.7422110552763819,1106.7179652675184,-1106.7179652675184,-1.1067179652675183,SIMULATED,False,-1.7598217839667543,1759.821783966754
55,2,SKU_B,1,order_moq,0.7422110552763819,457.4856621538687,-457.4856621538687,-0.4574856621538687,SIMULATED,False,-1.7598217839667543,1759.821783966754
55,3,SKU_C,5,reduce_review,0.7422110552763819,195.61815654536724,-195.61815654536724,-0.19561815654536724,SIMULATED,True,-1.7598217839667543,1759.821783966754
56,1,SKU_A,4,expedite,0.7374371859296482,1255.1819652675183,-1255.1819652675183,-1.2551819652675182,SIMULATED,False,-1001.4130716291035,1001413.0716291034
56,2,SKU_B,3,order_2w_cover,0.7374371859296482,999999.0,-999999.0,-999.999,SKIPPED_GATE_FAIL,False,-1001.4130716291035,1001413.0716291034
56,3,SKU_C,1,order_moq,0.7374371859296482,158.88966383592893,-158.88966383592893,-0.15888966383592892,SIMULATED,True,-1001.4130716291035,1001413.0716291034
